support,itemsets,itemset_len
0.0012091898428053204,"frozenset({'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UCupvZG-5ko_eiXAupbDfxWw', 'CH:UC52X5wxOL_s5yw0dQk7NtgA'})",3
0.0012091898428053204,"frozenset({'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UC5T7D-Dh1eDGtsAFCuwv_Sw', 'CH:UCO0akufu9MOzyz3nvGIXAAw'})",3
0.0012091898428053204,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UC5T7D-Dh1eDGtsAFCuwv_Sw', 'CH:UCuFFtHWoLl5fauMMD5Ww2jA'})",3
0.0012091898428053204,"frozenset({'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UC72nbKQLSDyiSARhg0Ywj4w', 'CH:UCCjG8NtOig0USdrT5D1FpxQ'})",3
0.0012091898428053204,"frozenset({'CH:UCStCUMvCw067Nw5uSlbyDsw', 'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UC72nbKQLSDyiSARhg0Ywj4w'})",3
0.0012091898428053204,"frozenset({'CH:UCStCUMvCw067Nw5uSlbyDsw', 'CH:UC72nbKQLSDyiSARhg0Ywj4w', 'CH:UCCjG8NtOig0USdrT5D1FpxQ'})",3
0.0012091898428053204,"frozenset({'CH:UCaXkIU1QidjPwiAYu6GcHjg', 'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UC9k-yiEpRHMNVOnOi_aQK8w'})",3
0.0012091898428053204,"frozenset({'CH:UCIRYBXDze5krPDzAEOxFGVA', 'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UCCjG8NtOig0USdrT5D1FpxQ'})",3
0.0012091898428053204,"frozenset({'CH:UCStCUMvCw067Nw5uSlbyDsw', 'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UCCjG8NtOig0USdrT5D1FpxQ'})",3
0.0012091898428053204,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UCCjG8NtOig0USdrT5D1FpxQ'})",3
0.0012091898428053204,"frozenset({'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UCvoiXGD8UhXXKzbI-tYo_Ig', 'CH:UCCjG8NtOig0USdrT5D1FpxQ'})",3
0.0012091898428053204,"frozenset({'CH:UCH1oRy1dINbMVp3UFWrKP0w', 'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UCVuFPbAjTi3mqpH-0veJRWg'})",3
